AC_Number,Constituency_Name,District,Margin_Pct,total_squeeze_pct,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,Predicted_Winner_adjusted,Predicted_Winner_Prob_adjusted
191,Balagarh,Hugli,2.7,0.14,Bharatiya Janta Party,0.5287878745945606,Bharatiya Janta Party,0.5632060423997881
161,Ballygunge,Kolkata,50.4,0.14,All India Trinamool Congress,0.9910311818148084,All India Trinamool Congress,0.8581894411609777
164,Beleghata,Kolkata,42.8,0.14,All India Trinamool Congress,0.9895737265180756,All India Trinamool Congress,0.8569777109851971
224,Kharagpur Sadar,Paschim Medinipur,2.2,0.1,Bharatiya Janta Party,0.9912376206989402,Bharatiya Janta Party,0.9914635765527304
83,Krishnanagar Uttar,Nadia,17.5,0.1,Bharatiya Janta Party,0.9844416084563798,Bharatiya Janta Party,0.9850483518974386
215,Khejuri,Purba Medinipur,8.5,0.1,Bharatiya Janta Party,0.990257048294932,Bharatiya Janta Party,0.9905472753781108
88,Krishnaganj,Nadia,9.3,0.1,Bharatiya Janta Party,0.997758774439475,Bharatiya Janta Party,0.9978221380051516
80,Kaliganj,Nadia,22.7,0.1,All India Trinamool Congress,0.9594987265204286,All India Trinamool Congress,0.86736669838811
11,Kalchini,Jalpaiguri,14.8,0.1,Bharatiya Janta Party,0.9984066735071976,Bharatiya Janta Party,0.9984411499617762
241,Joypur,Puruliya,6.1,0.1,Bharatiya Janta Party,0.9956204827815154,Bharatiya Janta Party,0.995781462754461
216,Kanthi Dakshin,Purba Medinipur,5.3,0.1,Bharatiya Janta Party,0.9892950459721812,Bharatiya Janta Party,0.9896890995205796
228,Kharagpur,Paschim Medinipur,18.3,0.1,All India Trinamool Congress,0.9815168603576544,All India Trinamool Congress,0.8867013115121072
22,Kalimpong,Darjiling,2.5,0.1,OTHER,0.690703257972146,OTHER,0.6909093059996374
183,Jagatballavpur,Haora,12.5,0.1,All India Trinamool Congress,0.9678768499991416,All India Trinamool Congress,0.8747266405356425
170,Howrah Uttar,Haora,3.7,0.1,All India Trinamool Congress,0.8725846128513518,All India Trinamool Congress,0.7908024290109444
244,Kashipur,Puruliya,3.8,0.1,Bharatiya Janta Party,0.9964749959318744,Bharatiya Janta Party,0.99658753724704
77,Karimpur,Nadia,10.7,0.1,All India Trinamool Congress,0.5945451449103485,All India Trinamool Congress,0.5432376063254192
213,Kanthi Uttar,Purba Medinipur,4.1,0.1,Bharatiya Janta Party,0.983422991375125,Bharatiya Janta Party,0.9838030691457512
221,Gopiballavpur,Paschim Medinipur,12.1,0.1,All India Trinamool Congress,0.8592578116801942,All India Trinamool Congress,0.779028183301944
257,Indus,Bankura,3.4,0.1,Bharatiya Janta Party,0.997936244427798,Bharatiya Janta Party,0.9980078437205886
222,Jhargram,Paschim Medinipur,19.3,0.1,All India Trinamool Congress,0.9813545248461416,All India Trinamool Congress,0.8865588518818132
17,Jalpaiguri,Jalpaiguri,0.4,0.1,Bharatiya Janta Party,0.7087556104418258,Bharatiya Janta Party,0.721861878523873
233,Garbeta,Paschim Medinipur,5.2,0.1,All India Trinamool Congress,0.856700349265101,All India Trinamool Congress,0.7767676122745415
91,Chakdaha,Nadia,5.5,0.1,Bharatiya Janta Party,0.9922890720801388,Bharatiya Janta Party,0.99256770310243
93,Haringhata,Nadia,7.3,0.1,Bharatiya Janta Party,0.9973382926977628,Bharatiya Janta Party,0.9974338724000816
292,Hansan,Birbhum,24.3,0.1,All India Trinamool Congress,0.997191002537432,All India Trinamool Congress,0.9004500128289785
